driver,lap,time
815,10,1:31.926
815,11,1:33.918
815,12,1:34.836
815,13,1:33.989
815,14,1:32.061
815,15,1:32.392
815,16,1:32.530
815,17,1:32.506
815,18,1:32.398
815,19,1:33.305
815,20,1:33.427
815,21,1:32.041
815,22,1:31.868
815,23,1:32.001
815,24,1:32.351
815,25,1:32.464
815,26,1:32.484
815,27,1:32.684
815,28,1:33.368
815,29,1:37.626
815,30,1:46.339
815,31,1:28.462
815,32,1:28.313
815,33,1:28.406
815,34,1:28.830
815,35,1:28.765
815,36,1:31.954
815,37,1:30.030
815,38,1:30.352
815,39,1:31.246
815,40,1:30.979
815,41,1:30.093
815,42,1:30.126
815,43,1:29.882
815,44,1:30.745
815,45,1:30.047
815,46,1:30.661
815,47,1:34.550
815,48,1:46.747
815,49,1:27.840
815,50,1:27.889
815,51,1:28.137
815,52,1:28.178
815,53,1:29.417
815,54,1:30.571
815,55,1:27.247
815,56,1:28.259
815,57,1:28.385
815,58,1:29.522
815,59,1:29.353
815,60,1:30.354
815,61,1:33.523
815,62,1:30.175
815,63,1:30.033
815,64,1:29.882
815,65,1:31.180
153,1,1:41.876
153,2,1:33.610
153,3,1:32.804
153,4,1:32.833
153,5,1:32.550
153,6,1:32.494
153,7,1:32.683
153,8,1:32.720
153,9,1:32.665
153,10,1:33.495
153,11,1:37.136
153,12,1:49.040
153,13,1:30.821
153,14,1:31.172
153,15,1:33.233
153,16,1:34.451
153,17,1:31.177
153,18,1:31.339
153,19,1:31.439
153,20,1:32.788
153,21,1:31.858
153,22,1:32.163
153,23,1:33.903
153,24,1:35.541
153,25,1:47.716
153,26,1:29.724
153,27,1:31.464
153,28,1:30.501
153,29,1:32.260
153,30,1:30.157
153,31,1:34.039
153,32,1:30.706
153,33,1:31.117
153,34,1:31.433
153,35,1:31.780
153,36,1:37.303
153,37,1:48.906
153,38,1:31.904
153,39,1:31.457
153,40,1:33.584
153,41,1:30.991
153,42,1:31.184
153,43,1:32.177
153,44,1:31.004
153,45,1:30.995
153,46,1:31.828
153,47,1:30.936
153,48,1:31.394
153,49,1:32.806
153,50,1:34.318
153,51,1:49.167
153,52,1:29.132
153,53,1:30.351
153,54,1:29.618
153,55,1:29.436
153,56,1:29.549
153,57,1:29.348
153,58,1:29.477
153,59,1:29.286
153,60,1:29.453
153,61,1:31.990
153,62,1:30.148
153,63,1:30.375
153,64,1:31.004
813,1,1:42.255
813,2,1:33.713
813,3,1:32.865
813,4,1:32.747
813,5,1:32.907
813,6,1:32.201
813,7,1:32.648
813,8,1:35.624
813,9,1:49.981
813,10,1:31.695
813,11,1:32.954
813,12,1:31.452
813,13,1:31.421
813,14,1:32.886
813,15,1:33.407
813,16,1:32.139
813,17,1:32.002
813,18,1:32.058
813,19,1:31.927
813,20,1:35.890
813,21,1:51.772
813,22,1:29.394
813,23,1:30.119
813,24,1:31.427
813,25,1:30.208
813,26,1:30.804
813,27,1:31.655
813,28,1:31.593
813,29,1:30.464
813,30,1:30.554
813,31,1:30.544
813,32,1:31.057
813,33,1:30.761
813,34,1:30.956
813,35,1:32.082
813,36,1:34.636
813,37,1:50.433
