driver,lap,time
822,26,1:32.821
830,27,1:29.156
844,27,1:29.210
815,27,1:29.340
847,27,1:29.432
846,27,1:29.480
1,27,1:29.568
857,27,1:29.602
832,27,1:29.841
852,27,1:29.942
840,27,1:30.191
4,27,1:30.229
842,27,1:30.404
858,27,1:30.465
839,27,1:30.578
855,27,1:30.619
825,27,1:30.691
848,27,1:30.728
817,27,1:30.737
822,27,1:31.817
807,27,1:32.085
815,28,1:28.954
830,28,1:29.217
846,28,1:29.469
844,28,1:29.556
847,28,1:29.565
1,28,1:29.691
852,28,1:29.892
832,28,1:29.977
840,28,1:30.312
839,28,1:30.322
842,28,1:30.496
4,28,1:30.559
848,28,1:30.631
817,28,1:30.697
825,28,1:30.709
855,28,1:30.782
858,28,1:30.987
857,28,1:31.036
807,28,1:31.580
822,28,1:32.424
830,29,1:29.183
846,29,1:29.426
844,29,1:29.556
815,29,1:29.563
840,29,1:29.602
832,29,1:29.640
852,29,1:29.688
847,29,1:29.722
1,29,1:29.842
4,29,1:30.009
842,29,1:30.329
857,29,1:30.340
839,29,1:30.504
848,29,1:30.588
855,29,1:30.608
825,29,1:30.628
858,29,1:30.693
817,29,1:31.307
807,29,1:31.768
822,29,1:34.094
830,30,1:29.266
844,30,1:29.428
815,30,1:29.480
846,30,1:29.500
832,30,1:29.700
840,30,1:29.736
847,30,1:29.840
852,30,1:29.989
825,30,1:30.116
1,30,1:30.118
842,30,1:30.392
4,30,1:30.415
857,30,1:30.497
839,30,1:30.514
848,30,1:30.591
858,30,1:30.642
807,30,1:30.667
817,30,1:30.678
855,30,1:31.054
822,30,1:53.086
830,31,1:29.149
847,31,1:29.402
815,31,1:29.413
844,31,1:29.554
852,31,1:29.667
840,31,1:29.706
832,31,1:29.764
1,31,1:29.806
846,31,1:30.010
857,31,1:30.082
4,31,1:30.128
842,31,1:30.239
839,31,1:30.319
848,31,1:30.555
807,31,1:30.593
825,31,1:30.631
858,31,1:30.647
855,31,1:30.935
822,31,1:31.308
817,31,1:32.484
830,32,1:29.100
815,32,1:29.314
847,32,1:29.692
4,32,1:29.807
844,32,1:29.815
840,32,1:29.831
846,32,1:29.842
857,32,1:29.847
1,32,1:29.876
832,32,1:29.897
852,32,1:29.968
839,32,1:30.243
822,32,1:30.245
848,32,1:30.350
825,32,1:30.684
807,32,1:30.845
855,32,1:30.874
858,32,1:31.130
842,32,1:32.563
817,32,1:50.058
830,33,1:29.137
815,33,1:29.261
817,33,1:29.349
847,33,1:29.593
844,33,1:29.693
852,33,1:29.759
832,33,1:29.760
1,33,1:29.774
857,33,1:29.777
840,33,1:30.128
839,33,1:30.244
4,33,1:30.426
825,33,1:30.437
848,33,1:30.447
822,33,1:30.623
855,33,1:30.844
858,33,1:30.878
846,33,1:31.445
807,33,1:32.455
842,33,1:51.301
830,34,1:29.077
842,34,1:29.151
815,34,1:29.316
844,34,1:29.447
817,34,1:29.584
832,34,1:29.674
1,34,1:29.789
857,34,1:29.841
4,34,1:29.884
840,34,1:29.921
852,34,1:29.976
848,34,1:30.026
839,34,1:30.033
825,34,1:30.452
822,34,1:30.473
858,34,1:30.769
855,34,1:30.941
847,34,1:30.962
846,34,1:47.697
807,34,1:50.198
846,35,1:28.736
842,35,1:29.016
830,35,1:29.148
815,35,1:29.243
832,35,1:29.494
852,35,1:29.773
817,35,1:29.814
857,35,1:29.858
4,35,1:29.869
840,35,1:29.902
848,35,1:29.987
822,35,1:30.401
825,35,1:30.413
839,35,1:30.474
807,35,1:30.498
858,35,1:30.545
855,35,1:30.594
1,35,1:31.324
844,35,1:31.443
847,35,1:49.329
847,36,1:28.687
830,36,1:28.902
815,36,1:28.928
842,36,1:29.351
852,36,1:29.640
807,36,1:29.691
846,36,1:29.881
822,36,1:30.207
832,36,1:30.228
848,36,1:30.341
840,36,1:30.486
817,36,1:30.531
839,36,1:30.622
855,36,1:30.670
825,36,1:30.674
858,36,1:30.740
857,36,1:31.580
4,36,1:32.048
1,36,1:48.781
844,36,1:48.820
830,37,1:28.910
847,37,1:28.943
815,37,1:28.992
844,37,1:29.035
846,37,1:29.220
1,37,1:29.532
807,37,1:29.747
832,37,1:29.807
852,37,1:29.834
842,37,1:30.010
822,37,1:30.246
839,37,1:30.307
825,37,1:30.345
848,37,1:30.413
840,37,1:30.751
858,37,1:31.780
817,37,1:31.968
855,37,1:32.936
857,37,1:47.533
4,37,1:50.279
857,38,1:28.138
844,38,1:28.736
4,38,1:28.909
815,38,1:29.043
830,38,1:29.073
847,38,1:29.243
807,38,1:29.462
846,38,1:29.596
832,38,1:29.746
822,38,1:30.016
842,38,1:30.098
839,38,1:30.138
848,38,1:30.238
1,38,1:30.373
825,38,1:30.376
840,38,1:30.403
852,38,1:30.579
817,38,1:31.008
858,38,1:31.231
855,38,1:50.896
857,39,1:28.650
844,39,1:28.759
4,39,1:28.800
830,39,1:28.849
855,39,1:28.951
815,39,1:29.130
847,39,1:29.194
1,39,1:29.221
846,39,1:29.432
822,39,1:30.001
817,39,1:30.068
807,39,1:30.091
840,39,1:30.305
825,39,1:30.425
848,39,1:30.497
832,39,1:30.581
842,39,1:30.797
852,39,1:31.013
858,39,1:31.989
839,39,1:32.095
844,40,1:28.546
4,40,1:28.617
847,40,1:28.683
857,40,1:28.683
817,40,1:28.841
1,40,1:28.867
815,40,1:28.909
830,40,1:29.053
855,40,1:29.081
846,40,1:29.243
852,40,1:29.633
832,40,1:29.635
842,40,1:29.859
840,40,1:30.099
807,40,1:30.121
848,40,1:30.331
822,40,1:30.345
839,40,1:30.447
825,40,1:31.437
858,40,1:31.754
844,41,1:28.466
847,41,1:28.612
857,41,1:28.762
1,41,1:28.810
4,41,1:28.810
817,41,1:28.838
830,41,1:29.003
846,41,1:29.064
815,41,1:29.195
855,41,1:29.402
832,41,1:29.495
852,41,1:29.511
842,41,1:29.621
807,41,1:29.893
840,41,1:29.991
822,41,1:30.161
839,41,1:30.252
848,41,1:30.310
825,41,1:30.480
858,41,1:32.696
4,42,1:28.256
844,42,1:28.277
846,42,1:28.522
817,42,1:28.581
847,42,1:28.792
1,42,1:28.793
855,42,1:28.972
857,42,1:28.978
830,42,1:29.082
842,42,1:29.231
807,42,1:29.396
832,42,1:29.452
